StartDate,EndDate,Progress,Duration__in_seconds_,Finished,RecordedDate,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q15,Q16,Q17,Q18,Q19,Q20,Q20.0,Q21,Q22_1,Q22_14,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q22_13_TEXT,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_7_TEXT,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q27_11,Q27_12,Q27_13,Q27_14,Q27_14_TEXT,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_7_TEXT,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q31_11,Q31_12,Q31_13,Q31_14,Q31_14_TEXT,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_7_TEXT,Q33,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q35_9,Q35_10,Q35_11,Q35_12,Q35_13,Q35_14,Q35_14_TEXT,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_7_TEXT,Q37,Q38,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q39_10,Q39_11,Q39_12,Q39_13,Q39_14,Q39_15,Q39_15_TEXT,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q58,Q58_8_TEXT,Q59,Q60,Q61,Q62,Q65,Q93,Q63,Q64
4/3/2023 9:11,4/3/2023 9:20,100,557,1,4/3/2023 9:20,,0,10,,2,4,2,2,2,,,3,4,2,2,,5,2,1,1,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,10,5,6,6,5,6,6,5,5,6,6,6,6,6,6,,,2,,2,,1,1,1,,,,,4,1,,,,,40,40,15,5,0,0,50,40,10,0,0,0,4,,0,Female,2,2,2,2,,
3/24/2023 16:01,3/24/2023 16:09,100,476,1,3/24/2023 16:09,,0,0,,2,5,2,2,1,,,2,1,1,1,,,2,2,2,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,10,5,5,5,4,5,6,5,5,5,6,6,6,6,5,,,1,1,2,,2,,1,,,,,4,2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,Female,2,1,3,1,2,2
3/24/2023 10:16,3/24/2023 10:24,100,481,1,3/24/2023 10:24,,0,0,,2,4,1,2,2,,,3,2,1,1,,4,1,1,1,,,2,3,,,,1,1,,,,,,,,,,,,,1,,,,,,,2,4,,1,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,9,4,4,4,4,4,4,4,4,3,3,4,4,4,4,,,2,,2,,2,,,,,,,2,2,2,,2,,25,58,15,2,0,0,0,0,0,0,0,0,2,,0,Female,1,2,1,1,2,2
3/21/2023 10:58,3/21/2023 11:46,100,2911,1,3/21/2023 11:46,,0,0,,3,5,2,2,2,,,1,1,1,2,,5,1,1,1,,,4,4,,1,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,1,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,10,4,5,3,3,3,3,4,4,3,4,4,4,3,4,,,2,,2,,2,,,,"more open forums for expressing concerns and discussing issues and ideas.  For example, we could have a mandatory all-student discussion","It would be really great to get more buy-in on initiatives from the entire community.  When only one or two PIs are the ones pushing forward DEI work, it is really discouraging and doesn't feel like it is a priority of the program.",,2,1,,,2,,50,20,30,0,0,0,30,30,40,0,0,0,2,,0,Female,1,2,1,1,2,2
3/6/2023 11:22,3/6/2023 11:33,100,644,1,3/6/2023 11:33,,0,0,,2,4,2,2,2,Members of the community recognize my potential as a scientist and are understanding that students are still in the process of learning,Some labs are still primarily men/white. Those labs may need help identifying subconscious biases.,3,1,2,2,,6,2,2,2,,,4,3,,1,,,,,1,,,,,,,,,1,,1,,,,,,,2,3,,,,1,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,1,,,,,,,10,4,3,3,2,2,3,1,3,3,3,4,3,2,4,,,2,,2,,1,1,1,,"include more info about finances in these surveys, especially for students and postdocs",,,3,2,3,,2,,5,15,55,20,5,0,10,15,55,15,5,0,2,,1,Female,2,2,1,1,2,2
3/17/2023 13:43,3/17/2023 14:12,100,1716,1,3/17/2023 14:12,,0,0,,1,5,2,2,2,"Despite not being in the IPiB program, I love how inclusive IPiB is to the outer community to join their many events.",,1,1,1,1,,,1,1,2,,"It would be great if there was a therapist or counselor for the IPiB community where you can talk about these perceived hostilities and the cost/benefit to reporting. It is difficult to report, let's say your PI, without fear of backlash.",1,2,,,,,,,,,,,,1,,,,1,,1,1,,,,,,1,2,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,"A faculty member yelled at me in front of my whole lab and a visiting lecturer for not describing my research project in the way they wanted. It made me feel small, stupid, and like I can no longer trust this person. Any interactions with this person are now purely transactional so I can finish my thesis.",1,,,,,,,,,,,,1,,,,1,,,,,,,,,8,5,4,4,4,6,6,2,6,6,6,4,4,2,5,,,2,,2,,1,1,1,,,,,4,1,1,,,,20,25,30,20,5,0,3,50,30,15,2,0,2,,1,Female,2,2,4,1,2,2
3/21/2023 17:06,3/21/2023 17:13,100,416,1,3/21/2023 17:13,,0,0,,2,3,2,2,3,,,2,2,2,2,,6,1,1,1,,,4,4,,,,,,,1,,,,,,,,,,,1,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,10,5,6,6,4,3,3,4,3,6,6,4,5,1,5,,,2,,2,,2,,,,,,,4,1,3,,2,,70,10,15,5,0,0,55,20,20,5,0,0,2,,1,Female,2,2,3,1,2,2
3/6/2023 12:01,3/6/2023 12:11,100,614,1,3/6/2023 12:11,,0,0,,2,5,1,2,1,,More emphasis on disability inclusion,1,1,1,1,,,1,1,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,8,4,6,6,6,6,6,6,6,6,6,6,6,6,6,,,2,,2,,2,,,,,,,4,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,6,,1,Female,3,2,2,2,,
3/8/2023 19:42,3/8/2023 20:10,100,1670,1,3/8/2023 20:10,,0,0,,3,4,2,2,2,involvement in events & getting a say in the directions the program moves in,,2,2,2,2,"My supervisor can be very hard to read and our relationship is very professional, so I think they care but I am not always confident in that.",4,1,1,1,,The informational posters around the buildings are helpful reminders/references,1,3,,1,,,1,,,,,,,,,,,,,,1,,,,,These have been almost entirely from students outside of IPiB who are in my lab.,1,4,,1,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,8,5,4,6,3,4,4,4,4,2,2,4,3,3,5,,,2,,2,,2,,,,,,,3,2,2,,1,"I really highly value my research & the opportunities here & there are many positive aspects to being in this department/community. I'd like to make the culture better for future students. Also, the career path I want requires a PhD, and I don't know what else I would do, and I don't have enough money to quit and move either.",90,5,4,1,0,0,55,10,30,5,0,0,2,,2,Female,2,2,2,1,2,2
3/16/2023 15:27,3/16/2023 15:35,100,483,1,3/16/2023 15:35,,0,0,,1,2,1,1,2,,,1,2,1,2,,,1,1,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,10,5,5,5,5,6,6,5,5,5,5,6,5,3,5,,,2,,2,,2,,,,,,,4,1,,,,,90,5,5,0,0,0,90,5,5,0,0,0,9,,2,Female,1,2,3,2,,
